0;1;2
C1.03.01.02.03.01::lrenan;4;
C1.03.01.02.03.01::lrenan;5;
C1.03.01.02.03.01::lrenan;6;
C1.03.01.02.03.01::lrenan;7;
C1.03.01.02.03.01::lrenan;8;
C1.03.01.02.03.01::lrenan;9;
C1.03.01.02.03.01::lrenan;10;
C1.03.01.02.03.02::voperacoes;1;
C1.03.01.02.03.02::voperacoes;2;
C1.03.01.02.03.02::voperacoes;3;
C1.03.01.02.03.02::voperacoes;4;
C1.03.01.02.03.02::voperacoes;5;
C1.03.01.02.03.02::voperacoes;6;
C1.03.01.02.03.02::voperacoes;7;
C1.03.01.02.03.02::voperacoes;8;
C1.03.01.02.03.02::voperacoes;9;
C1.03.01.02.03.02::voperacoes;10;
C1.03.01.02.03.02::pguilherme;1;
C1.03.01.02.03.02::pguilherme;2;
C1.03.01.02.03.02::pguilherme;3;
C1.03.01.02.03.02::pguilherme;4;
C1.03.01.02.03.02::pguilherme;5;
C1.03.01.02.03.02::pguilherme;6;
C1.03.01.02.03.02::pguilherme;7;
C1.03.01.02.03.02::pguilherme;8;
C1.03.01.02.03.02::pguilherme;9;
C1.03.01.02.03.02::pguilherme;10;
C1.03.01.02.03.02::OP001apriscila;1;
C1.03.01.02.03.02::OP001apriscila;2;
C1.03.01.02.03.02::OP001apriscila;3;
C1.03.01.02.03.02::OP001apriscila;4;
C1.03.01.02.03.02::OP001apriscila;5;
C1.03.01.02.03.02::OP001apriscila;6;
C1.03.01.02.03.02::OP001apriscila;7;
C1.03.01.02.03.02::OP001apriscila;8;
C1.03.01.02.03.02::OP001apriscila;9;
C1.03.01.02.03.02::OP001apriscila;10;
C1.03.01.02.03.02::ssergio;1;63.75
C1.03.01.02.03.02::ssergio;2;72.81
C1.03.01.02.03.02::ssergio;3;75.29
C1.03.01.02.03.02::ssergio;4;75.59
C1.03.01.02.03.02::ssergio;5;75.91
C1.03.01.02.03.02::ssergio;6;75.93
C1.03.01.02.03.02::ssergio;7;75.79
C1.03.01.02.03.02::ssergio;8;75.89
C1.03.01.02.03.02::ssergio;9;75.95
C1.03.01.02.03.02::ssergio;10;73.73
C1.03.01.02.04::saldair;1;47.85
C1.03.01.02.04::saldair;2;56.35
C1.03.01.02.04::saldair;3;64.88
C1.03.01.02.04::saldair;4;65.19
C1.03.01.02.04::saldair;5;65.77
C1.03.01.02.04::saldair;6;65.69
C1.03.01.02.04::saldair;7;65.64
C1.03.01.02.04::saldair;8;66.14
C1.03.01.02.04::saldair;9;66.17
